Tiktok_Category,GoogleId,Taxonomy
Eyeshadow,2904,Eye Shadow
Fryers,738,Deep Fryers
Powder,2803,Baking Powder
Knife Block Sets,5157,Knife Blocks & Holders
Make-up Bags,108,Cosmetic & Toiletry Bags
Trainers,3868,Bicycle Trainers
Selfie Accessories,8111,Mobile Phone Camera Accessories
Formal Dresses,2271,Dresses
Novelty Lighting,3006,Lighting Fixtures
Other,222,Electronics
Monitors,305,Computer Monitors
Tote Bags,5608,Shopping Totes
Bathing Accessories,2996,Bathtub Accessories
Facial Beauty Devices,2619,Cosmetic Tools
Oral Irrigators,7324,Tongue Depressors
Outdoor Lighting,8020,Outdoor Umbrella Lights
Electronic Mosquito Killers,3538,Mosquito Nets & Insect Screens
Vacuum Flasks,1444,Flasks
Jackets & Coats,5598,Coats & Jackets
Stress Relief Toys,3199,Fitness Toys
Makeup Sets,6069,Cosmetic Sets
Lip Treatments,543574,Medicated Lip Treatments
Skincare Tools,2958,Skin Care Tools
Pans & Woks,4421,Electric Skillets & Woks
"Beds, Sofas & Mats",6433,Beds & Accessories
Ice Cream Utensils,3202,Ice Cream Scoops
Wallets,5841,Wallet Chains
Nail Treatments,478,Nail Care
Bronzer & Highlighter,6304,Highlighters & Luminizers
Slippers,187,Shoes
Lunch Boxes,669,Lunch Boxes & Totes
"Bulbs, Tubes & Strips",2425,Light Bulbs
Sets,7313,Outfit Sets
Console Accessories,1270,Video Game Console Accessories
Boots,187,Shoes
Heels,187,Shoes
Electric Wrenches,1632,Wrenches
Juice & Smoothies,2887,Juice
Storage Bags,3561,Household Storage Bags
